state	rank	country	value
Maryland	4	Mexico	2819.18
Maryland	5	Japan	2181.3
Maryland	6	Canada	1990.24
Maryland	7	Thailand	1004.23
Maryland	8	Brazil	916.87
Maryland	9	Sweden	833.29
Maryland	10	Italy	700.33
Maryland	11	Russia	569.72
Maryland	12	India	537.6
Maryland	13	South Africa	532.91
Maryland	14	Belgium	507
Maryland	15	France	484.78
Maryland	16	Finland	482.48
Maryland	17	Indonesia	450.85
Maryland	18	Hungary	365.95
Maryland	19	Malaysia	333.11
Maryland	20	Austria	325.63
Maryland	21	Vietnam	314.36
Maryland	22	Turkey	291.49
Maryland	23	Chile	283.36
Maryland	24	Netherlands	241.29
Maryland	25	Korea, South	241.24
Maine	0	World	3672.72
Maine	0	Top 25	3446.38
Maine	1	Canada	1938.8
Maine	2	China	464.95
Maine	3	United Kingdom	108.68
Maine	4	Germany	90.1
Maine	5	Vietnam	84.46
Maine	6	Denmark	75.91
Maine	7	Mexico	73.67
Maine	8	Netherlands	70.41
Maine	9	Japan	61.32
Maine	10	Italy	60.47
Maine	11	Bangladesh	46.05
Maine	12	Belgium	38.35
Maine	13	Philippines	37.18
Maine	14	Thailand	36.14
Maine	15	Russia	33.67
Maine	16	Malaysia	29.9
Maine	17	Switzerland	25.6
Maine	18	Taiwan	25.3
Maine	19	Peru	22.67
Maine	20	Brazil	21.74
Maine	21	Austria	21.58
Maine	22	Chile	21.32
Maine	23	Korea, South	19.79
Maine	24	India	19.42
Maine	25	France	18.91
Michigan	0	World	124088.08
Michigan	0	Top 25	121225.84
Michigan	1	Canada	45703.02
Michigan	2	Mexico	43870.57
Michigan	3	China	9179.96
Michigan	4	Germany	4416.75
Michigan	5	Italy	3436.51
Michigan	6	Japan	2914.05
Michigan	7	Korea, South	2596.12
Michigan	8	Spain	1151.23
Michigan	9	India	935.3
Michigan	10	Taiwan	859.85
Michigan	11	Thailand	743.11
Michigan	12	United Kingdom	716.75
Michigan	13	Malaysia	558.03
Michigan	14	France	509.14
Michigan	15	Brazil	492.12
Michigan	16	Turkey	490.14
Michigan	17	Sweden	393.18
Michigan	18	Israel	377.18
Michigan	19	Austria	367.8
Michigan	20	Vietnam	350.67
Michigan	21	Australia	288.24
Michigan	22	Netherlands	229.8
Michigan	23	Poland	216.15
Michigan	24	Hungary	215.47
Michigan	25	Switzerland	214.72
Minnesota	0	World	28576.19
Minnesota	0	Top 25	27204.68
Minnesota	1	China	9987.11
Minnesota	2	Canada	8678.5
Minnesota	3	Mexico	2001.58
Minnesota	4	Germany	946.37
Minnesota	5	Ireland	815.92
Minnesota	6	Taiwan	689.04
Minnesota	7	Brazil	634.58
Minnesota	8	Japan	396.8
Minnesota	9	Italy	391.39
Minnesota	10	United Kingdom	358.13
Minnesota	11	France	315.45
Minnesota	12	Malaysia	242.5
Minnesota	13	India	215.14
Minnesota	14	Korea, South	183.11
Minnesota	15	Switzerland	169.88
Minnesota	16	Costa Rica	154.98
Minnesota	17	Thailand	151.91
Minnesota	18	Vietnam	145.02
Minnesota	19	Denmark	126.21
Minnesota	20	Israel	110.11
Minnesota	21	Turkey	102.57
Minnesota	22	Sweden	99.95
Minnesota	23	Trinidad and Tobago	97.25
Minnesota	24	Peru	95.87
Minnesota	25	Netherlands	95.32
Missouri	0	World	18444.05
Missouri	0	Top 25	17464.45
Missouri	1	China	4796.18
Missouri	2	Canada	3389.48
Missouri	3	Mexico	3203.55
Missouri	4	Germany	1264.51
Missouri	5	United Arab Emirates	602.98
Missouri	6	Belgium	443.32
Missouri	7	India	393.93
Missouri	8	Taiwan	390.02
Missouri	9	United Kingdom	338
Missouri	10	Japan	287.19
Missouri	11	France	276.75
Missouri	12	Italy	257.62
Missouri	13	Korea, South	227.71
Missouri	14	Philippines	182.17
Missouri	15	Chile	180.03
Missouri	16	Netherlands	161.9
Missouri	17	Israel	161.16
Missouri	18	Switzerland	157.06
Missouri	19	Finland	137.71
Missouri	20	Vietnam	124.67
Missouri	21	Turkey	115.97
Missouri	22	Brazil	112.91
Missouri	23	Thailand	100.1
Missouri	24	Ireland	80.63
Missouri	25	Spain	78.89
Mississippi	0	World	14062.91
Mississippi	0	Top 25	12940.98
Mississippi	1	China	3909.05
Mississippi	2	Mexico	1410.86
Mississippi	3	Venezuela	1220.34
Mississippi	4	Canada	1078.95
Mississippi	5	Japan	834.08
Mississippi	6	Germany	661.59
Mississippi	7	Colombia	405.44
Mississippi	8	United Kingdom	358.8
Mississippi	9	Brazil	310.41
Mississippi	10	Vietnam	292.07
Mississippi	11	Malaysia	251.18
Mississippi	12	Taiwan	237.19
Mississippi	13	India	213.32
Mississippi	14	Russia	198.57
Mississippi	15	Italy	186.09
Mississippi	16	Bangladesh	185.86
Mississippi	17	Nigeria	168.22
Mississippi	18	Belgium	154
Mississippi	19	France	146.93
Mississippi	20	Honduras	141.55
Mississippi	21	Korea, South	138.91
Mississippi	22	Netherlands	133.17
Mississippi	23	Norway	125.05
Mississippi	24	Philippines	90.16
Mississippi	25	Australia	89.21
Montana	0	World	4066.99
Montana	0	Top 25	4054.19
Montana	1	Canada	3510.8
Montana	2	Germany	151.67
Montana	3	Mexico	99.53
Montana	4	China	91.52
Montana	5	United Kingdom	50.66
Montana	6	Italy	28.9
Montana	7	Taiwan	22.59
Montana	8	India	21.65
Montana	9	France	12.84
Montana	10	Korea, South	12.35
Montana	11	Philippines	12.07
Montana	12	Japan	10.93
Montana	13	Colombia	4.56
Montana	14	Belgium	3.79
Montana	15	Netherlands	3.18
Montana	16	Australia	2.67
Montana	17	Vietnam	2.11
Montana	18	Lithuania	2.09
Montana	19	Finland	1.82
Montana	20	Thailand	1.74
Montana	21	Sweden	1.66
Montana	22	Switzerland	1.39
Montana	23	Austria	1.34
Montana	24	Israel	1.27
Montana	25	Norway	1.07
North Carolina	0	World	50880.03
North Carolina	0	Top 25	44496.65
North Carolina	1	China	11062.86
North Carolina	2	Mexico	4507.26
North Carolina	3	Canada	3481.56
North Carolina	4	Germany	3236.47
North Carolina	5	Japan	2944.39
North Carolina	6	United Kingdom	2726.55
North Carolina	7	France	2166.27
North Carolina	8	Italy	1851.73
North Carolina	9	India	1344.96
North Carolina	10	Vietnam	1194.84
North Carolina	11	Switzerland	1150.18
North Carolina	12	Honduras	938.14
North Carolina	13	Taiwan	881.63
North Carolina	14	Brazil	804.69
North Carolina	15	Ireland	753.15
North Carolina	16	Dominican Republic	656.23
North Carolina	17	Indonesia	632.23
North Carolina	18	Korea, South	631.4
North Carolina	19	Netherlands	625.74
North Carolina	20	Singapore	559.46
North Carolina	21	El Salvador	543.69
North Carolina	22	Thailand	471.77
North Carolina	23	Bangladesh	470.05
North Carolina	24	Malaysia	444.78
North Carolina	25	Haiti	416.62
North Dakota	0	World	3146.04
North Dakota	0	Top 25	3052.74
North Dakota	1	Canada	1927.11
North Dakota	2	Korea, South	211.61
North Dakota	3	Mexico	147.96
North Dakota	4	Germany	132.29
North Dakota	5	China	120.2
North Dakota	6	India	73.76
North Dakota	7	France	69.01
North Dakota	8	United Kingdom	45.31
North Dakota	9	Saudi Arabia	43.7
North Dakota	10	Czech Republic	40.08
North Dakota	11	Japan	36.84
North Dakota	12	Italy	24.95
North Dakota	13	Spain	22.5
North Dakota	14	Bolivia	21.59
North Dakota	15	Singapore	16.57
North Dakota	16	Vietnam	16.31
North Dakota	17	Taiwan	15.31
North Dakota	18	Poland	13.76
North Dakota	19	Denmark	12.77
North Dakota	20	Austria	12.47
North Dakota	21	Russia	11.35
North Dakota	22	Kenya	10.92
North Dakota	23	Turkey	10.59
North Dakota	24	Peru	8.4
North Dakota	25	Thailand	7.38
Nebraska	0	World	4129.78
Nebraska	0	Top 25	3965.08
Nebraska	1	China	1020.58
Nebraska	2	Canada	947.71
Nebraska	3	Germany	321.05
Nebraska	4	Mexico	295.48
Nebraska	5	Japan	288.03
Nebraska	6	United Kingdom	173.74
Nebraska	7	Austria	141
Nebraska	8	France	102.15
Nebraska	9	Brazil	86.02
Nebraska	10	Italy	83.82
Nebraska	11	Taiwan	73.94
Nebraska	12	Switzerland	66.21
Nebraska	13	Thailand	61.66
